T, sc, ss, lc, ls, 
0,0.25,0.25,0.25,0.25, 
1,0.49515015,0.072817564,0.004641017,0.4273913,
2,0.7422339,0.20110145,0.004302556,0.052362103,
3,0.7914287,0.19196235,0.001499003,0.015109952,
4,0.80686015,0.18609889,5.35E-04,0.006505944,
5,0.80432135,0.19345608,2.00E-04,0.002022322,
6,0.80836916,0.19068794,7.17E-05,8.71E-04,
7,0.80953395,0.19017597,2.61E-05,2.64E-04,
8,0.80829567,0.19159834,9.54E-06,9.65E-05,
9,0.8085914,0.191363,3.46E-06,4.22E-05,
10,0.8086205,0.19136292,1.26E-06,1.53E-05,
